year,month,day_of_week,hour_of_day,province,district,road_type,road_condition,weather_condition,lighting_condition,vehicle_type,vehicles_involved,accident_cause,is_rush_hour,is_weekend,is_night,is_foggy_month,num_injured,num_killed,severity
2023,6,Saturday,19,Punjab,Bahawalpur,Urban Road,Average,Rainy,Dawn/Dusk,Van/Pickup,1,Wrong Overtaking,1,1,0,0,1,1,Medium
2021,7,Wednesday,3,Islamabad,Islamabad,Rural Road,Poor,Foggy,Street Light,Rickshaw,3,Driver Fatigue,0,0,1,0,4,0,Medium
2018,12,Saturday,11,KPK,Nowshera,Urban Road,Good,Rainy,Daylight,Car/Taxi,1,Pedestrian Error,0,1,0,1,1,0,Low
2020,9,Sunday,17,Sindh,Sukkur,National Highway,Average,Foggy,No Light,Motorcycle,2,Wrong Overtaking,1,1,0,0,10,0,High
2022,2,Saturday,8,Punjab,Faisalabad,Urban Road,Good,Clear,Daylight,Car/Taxi,2,Mobile Phone Use,1,1,0,1,2,1,Low
2022,6,Friday,19,Punjab,Faisalabad,Rural Road,Good,Clear,Dawn/Dusk,Car/Taxi,2,Road Condition,1,0,0,0,2,0,Low
2020,5,Friday,7,Punjab,Sheikhupura,Provincial Highway,Good,Clear,Daylight,Motorcycle,2,Over Speeding,1,0,0,0,9,1,High
2022,12,Sunday,14,Balochistan,Loralai,Urban Road,Average,Foggy,Daylight,Motorcycle,2,Wrong Overtaking,0,1,0,1,2,1,Medium
2021,3,Monday,10,Sindh,Jacobabad,Urban Road,Poor,Dusty/Smoggy,Daylight,Motorcycle,1,Signal Violation,0,0,0,0,1,0,Low
2018,12,Tuesday,9,KPK,Kohat,Provincial Highway,Good,Clear,Daylight,Motorcycle,2,Road Condition,1,0,0,1,2,0,Low
2022,10,Monday,18,Punjab,Sialkot,Urban Road,Average,Clear,Daylight,Car/Taxi,3,Road Condition,1,0,0,0,0,0,Low
2022,1,Saturday,18,Islamabad,Islamabad,Urban Road,Good,Foggy,Daylight,Car/Taxi,2,Driver Fatigue,1,1,0,1,3,1,Medium
2019,7,Friday,11,KPK,Nowshera,Provincial Highway,Under Repair,Clear,Daylight,Motorcycle,2,Weather Condition,0,0,0,0,5,1,Medium
2020,7,Thursday,13,Punjab,Sheikhupura,Provincial Highway,Good,Foggy,Daylight,Rickshaw,3,Over Speeding,1,0,0,0,4,0,Medium
2020,6,Saturday,19,Punjab,Rahim Yar Khan,Provincial Highway,Average,Clear,No Light,Motorcycle,1,Pedestrian Error,1,1,0,0,0,0,Low
2022,5,Thursday,7,Punjab,Multan,National Highway,Average,Clear,No Light,Rickshaw,3,Driver Fatigue,1,0,0,0,3,0,Medium
2023,12,Saturday,8,Punjab,Sialkot,Urban Road,Average,Clear,Daylight,Car/Taxi,2,Drunk Driving,1,1,0,1,1,0,Low
2018,12,Friday,15,Sindh,Karachi,National Highway,Under Repair,Clear,Daylight,Bicycle,2,Road Condition,0,0,0,1,6,2,High
2021,7,Friday,19,Sindh,Jacobabad,National Highway,Under Repair,Dusty/Smoggy,Dawn/Dusk,Car/Taxi,1,Mechanical Failure,1,0,0,0,2,0,Low
2021,12,Friday,19,Punjab,Multan,Motorway,Average,Clear,Dawn/Dusk,Van/Pickup,3,Mobile Phone Use,1,0,0,1,1,0,Low
2023,11,Thursday,18,Sindh,Hyderabad,National Highway,Average,Clear,Daylight,Rickshaw,1,Over Speeding,1,0,0,1,7,0,High
2023,9,Tuesday,21,Punjab,Multan,Provincial Highway,Good,Clear,Street Light,Motorcycle,2,Wrong Overtaking,0,0,0,0,4,2,High
2022,2,Saturday,3,Punjab,Bahawalpur,Motorway,Under Repair,Foggy,Street Light,Other,1,Pedestrian Error,0,1,1,1,3,0,Medium
2019,11,Monday,16,Punjab,Faisalabad,Urban Road,Average,Foggy,Daylight,Rickshaw,2,Over Speeding,0,0,0,1,3,0,Medium
2020,3,Wednesday,10,Sindh,Karachi,Urban Road,Good,Rainy,Daylight,Car/Taxi,1,Over Speeding,0,0,0,0,2,1,Medium
2023,12,Sunday,10,KPK,Peshawar,Rural Road,Under Repair,Rainy,Daylight,Rickshaw,2,Over Speeding,0,1,0,1,5,0,Medium
2022,11,Monday,20,Punjab,Sargodha,National Highway,Average,Clear,No Light,Rickshaw,4,Over Speeding,1,0,0,1,3,0,Medium
2019,7,Tuesday,13,Sindh,Jacobabad,Rural Road,Good,Foggy,Daylight,Motorcycle,2,Over Speeding,1,0,0,0,5,2,Medium
2020,9,Monday,16,Sindh,Larkana,National Highway,Average,Clear,Street Light,Motorcycle,2,Over Speeding,0,0,0,0,10,2,High
2021,1,Saturday,11,Punjab,Gujranwala,National Highway,Under Repair,Clear,Daylight,Motorcycle,3,Over Speeding,0,1,0,1,2,4,High
2022,10,Saturday,22,Sindh,Mirpur Khas,Rural Road,Good,Foggy,No Light,Car/Taxi,2,Driver Fatigue,0,1,1,0,1,1,Medium
2019,12,Sunday,11,Punjab,Sargodha,National Highway,Average,Clear,Daylight,Motorcycle,1,Over Speeding,0,1,0,1,10,2,High
2020,11,Saturday,12,Punjab,Rawalpindi,National Highway,Poor,Rainy,Daylight,Car/Taxi,1,Mechanical Failure,1,1,0,1,3,2,Medium
2021,6,Friday,11,Islamabad,Islamabad,Rural Road,Average,Clear,Daylight,Other,2,Road Condition,0,0,0,0,0,0,Low
2021,12,Thursday,13,Islamabad,Islamabad,National Highway,Good,Dusty/Smoggy,Daylight,Car/Taxi,3,Pedestrian Error,1,0,0,1,2,0,Medium
2021,2,Wednesday,11,KPK,Kohat,National Highway,Average,Clear,Daylight,Car/Taxi,2,Over Speeding,0,0,0,1,8,2,High
2020,4,Friday,11,Punjab,Sargodha,Rural Road,Average,Clear,Daylight,Motorcycle,2,Over Speeding,0,0,0,0,4,0,Medium
2018,6,Monday,12,Punjab,Sargodha,Provincial Highway,Average,Extreme Heat,Daylight,Bus/Coach,2,Over Speeding,1,0,0,0,4,2,High
2018,3,Thursday,8,KPK,Bannu,Rural Road,Under Repair,Clear,Daylight,Van/Pickup,4,Driver Fatigue,1,0,0,0,4,0,Medium
2022,4,Friday,19,Sindh,Larkana,Rural Road,Poor,Foggy,No Light,Bus/Coach,1,Over Speeding,1,0,0,0,2,2,Medium
